Questions,Timestamp
Why do we need to search for the unchanging self?,https://www.youtube.com/watch?v=3rE9U4ty5vw&t=106s
 Is it ok to pray to God to satisfy our desires?,https://www.youtube.com/watch?v=3rE9U4ty5vw&t=786s
"If avidya (ignorance) is in Brahman, isn't it real?",https://www.youtube.com/watch?v=3rE9U4ty5vw&t=1608s
 What is Vedanta's view on vegetarianism?,https://www.youtube.com/watch?v=3rE9U4ty5vw&t=1927s
How can I develop pure love?,https://www.youtube.com/watch?v=3rE9U4ty5vw&t=2075s
Can pure consciousness change the appearance of reality?,https://www.youtube.com/watch?v=3rE9U4ty5vw&t=2407s
Can God be both impersonal and personal?,https://www.youtube.com/watch?v=3rE9U4ty5vw&t=2893s
 Is the anandamaya kosha (bliss sheath) really blissful?,https://www.youtube.com/watch?v=3rE9U4ty5vw&t=3361s
How does the concept of dependent origination map into Advaitic concepts?,https://www.youtube.com/watch?v=3rE9U4ty5vw&t=3739s
How is the cycle of reincarnation possible?,https://www.youtube.com/watch?v=3rE9U4ty5vw&t=4006s
Is there a concept in Hinduism about a personal God that can suffer?,https://www.youtube.com/watch?v=3rE9U4ty5vw&t=4597s
"If all is Brahman, what is wrong with Maya?",https://www.youtube.com/watch?v=3rE9U4ty5vw&t=4875s
How does one love consciousness?,https://www.youtube.com/watch?v=S7Zd8AYUN7M&t=197s
What is the purpose of professional ambition and duty?,https://www.youtube.com/watch?v=S7Zd8AYUN7M&t=1204s
" In our waking state, is there a way to find the unity of pure consciousness?",https://www.youtube.com/watch?v=S7Zd8AYUN7M&t=1726s
 Isn't consciousness interrupted in deep sleep?,https://www.youtube.com/watch?v=S7Zd8AYUN7M&t=3135s
 How do you overcome sorrow that comes from seeing the suffering of others?,https://www.youtube.com/watch?v=S7Zd8AYUN7M&t=3421s
 How has Karma manifested itself to give rise to the universe?,https://www.youtube.com/watch?v=S7Zd8AYUN7M&t=3868s
"If consciousness is universal, why aren't inert objects aware? Isn't consciousness dependent on the senses and mind?",https://www.youtube.com/watch?v=S7Zd8AYUN7M&t=4498s
How can one get rid of unwanted vasanas (desires)?,https://www.youtube.com/watch?v=S7Zd8AYUN7M&t=5151s
Can Brahman be equally immanent and transcendent?,https://www.youtube.com/watch?v=tMSnomUpAqc&t=142s
Who is the doer of action?,https://www.youtube.com/watch?v=tMSnomUpAqc&t=1297s
"Swamiji, what is your daily routine?",https://www.youtube.com/watch?v=tMSnomUpAqc&t=1995s
Can art lead us to the infinite?  What is the nature of abhyasa?  What is the nature of vairagya?,https://www.youtube.com/watch?v=tMSnomUpAqc&t=2074s
"If Buddhism believes in reincarnation, why not the Atman?",https://www.youtube.com/watch?v=tMSnomUpAqc&t=3260s
 What do you mean by an appearance in consciousness?  Is it permitted to think of consciousness with qualities?,https://www.youtube.com/watch?v=tMSnomUpAqc&t=3700s
How can we be sure that this waking world does not occur in our mind like a dream?,https://www.youtube.com/watch?v=tMSnomUpAqc&t=3996s
" Does moksha happen at once, or does it happen over time?",https://www.youtube.com/watch?v=tMSnomUpAqc&t=4370s
Why are there so many different perspectives on moksha?,https://www.youtube.com/watch?v=tMSnomUpAqc&t=4630s
Can there be spontaneous enlightenment without spiritual practice?,https://www.youtube.com/watch?v=tMSnomUpAqc&t=4754s
 How can reality be truly One?,https://www.youtube.com/watch?v=tMSnomUpAqc&t=5004s
" When a spiritual seeker becomes stuck, is a guru necessary?",https://www.youtube.com/watch?v=tMSnomUpAqc&t=5641s
 How is it that the self is in all beings from the chit (consciousness) perspective?,https://www.youtube.com/watch?v=oqBEnsOendk&t=92s
Where is my consciousness when I am sleeping? Can I use sleep as a spiritual practice?,https://www.youtube.com/watch?v=oqBEnsOendk&t=1117s
Will a realized person retain their individuality after enlightenment?,https://www.youtube.com/watch?v=oqBEnsOendk&t=1615s
Why do we call this world false?,https://www.youtube.com/watch?v=oqBEnsOendk&t=2438s
 What does Sri Ramakrishna mean by going into the black water (in reference to samadhi)?,https://www.youtube.com/watch?v=oqBEnsOendk&t=3353s
"If we want to take up a life of renunciation, what practices should be followed?",https://www.youtube.com/watch?v=oqBEnsOendk&t=3630s
Isn't enlightenment part of Maya?,https://www.youtube.com/watch?v=4QDmwE0Fw2o&t=144s
"The witness consciousness, sat, chit, ananda, the basis of all truths, cannot perform any action. The mind removes its own veil. How can we turn this understanding into meditation?",https://www.youtube.com/watch?v=4QDmwE0Fw2o&t=965s
"In the Gospel, Sri Ramakrishna says to ""dive deep"". What does this mean?",https://www.youtube.com/watch?v=4QDmwE0Fw2o&t=2050s
" What does Sri Ramakrishna mean when he tells Naren ""He who was Rama and he who was Krishna was born again as Ramakrishna, but not in your Vedantic sense""?",https://www.youtube.com/watch?v=4QDmwE0Fw2o&t=3005s
 How do I know if I am progressing spiritually?  How can one recognize an enlightened being?,https://www.youtube.com/watch?v=4QDmwE0Fw2o&t=3570s
Why is there a tradition of fear in relation to God?,https://www.youtube.com/watch?v=4QDmwE0Fw2o&t=4525s
 How can I worship God if I am one with God?,https://www.youtube.com/watch?v=yzZ8L5vmgq0&t=40s
" I find it easy to say ""I am Brahman"", but how can I say ""I am Jesus""?",https://www.youtube.com/watch?v=yzZ8L5vmgq0&t=778s
" When we pray for peace, who are we praying to?",https://www.youtube.com/watch?v=yzZ8L5vmgq0&t=1172s
 My dream borrows material from my waking experience.  Where does my waking reality borrow material from?,https://www.youtube.com/watch?v=yzZ8L5vmgq0&t=1598s
"As our identities are ephemeral in dreams, aren't our identities also ephemeral in awareness?  How is Advaita as expressed by Nisargadatta different from Advaita taught in the Ramakrishna Order?",https://www.youtube.com/watch?v=yzZ8L5vmgq0&t=2163s
"After having our vices under control, what is the next step forward? After having cleansed the mind, what is the next step in mediation?",https://www.youtube.com/watch?v=yzZ8L5vmgq0&t=2810s
 What hope is there for an ordinary householder in achieving realization?,https://www.youtube.com/watch?v=yzZ8L5vmgq0&t=3613s
Is it possible to experience Turiya temporarily?,https://www.youtube.com/watch?v=hRp1mkuRBYU&t=53s
Why does Drg-Drsya-Viveka indicate that only the avaccheda (limitation) theory explains the appearance of one consciousness as many consciousnesses?,https://www.youtube.com/watch?v=hRp1mkuRBYU&t=688s
"If there is ultimately no free will, how is Karma applicable?",https://www.youtube.com/watch?v=hRp1mkuRBYU&t=1708s
" Who created the universe, Iswara or Hiranyagarba? Why is it said that Hiranyagarba has maximum bliss?",https://www.youtube.com/watch?v=hRp1mkuRBYU&t=2414s
"How is the witness consciousness really free, if it cannot choose what it wants to witness?",https://www.youtube.com/watch?v=hRp1mkuRBYU&t=3185s
"If both bliss and pain are in the mind, why is Atman described as pure bliss, and not also pure pain?",https://www.youtube.com/watch?v=hRp1mkuRBYU&t=3369s
What is the relationship between the reflected consciousness and pure consciousness?,https://www.youtube.com/watch?v=nENMCNBSQvQ&t=122s
"When we obtain knowledge of true consciousness, how is it that we continue to experience the current reality?",https://www.youtube.com/watch?v=nENMCNBSQvQ&t=1110s
Are the scriptures useless with regard to swadharma?,https://www.youtube.com/watch?v=nENMCNBSQvQ&t=1620s
How can we keep children involved with spiritual concepts?,https://www.youtube.com/watch?v=nENMCNBSQvQ&t=1966s
"If the universe is continuously rising and falling, is the universe something different from the Atman?",https://www.youtube.com/watch?v=nENMCNBSQvQ&t=2231s
How can we resolve the conflict between our spiritual journey and responsibilities in daily life?,https://www.youtube.com/watch?v=nENMCNBSQvQ&t=2654s
"Which is correct, Jiva is Shiva, or everything is a dream?",https://www.youtube.com/watch?v=nENMCNBSQvQ&t=3328s
 Is all this philosophy just something that has been fed to us?,https://www.youtube.com/watch?v=nENMCNBSQvQ&t=3598s
How can we define God for a young person?,https://www.youtube.com/watch?v=nENMCNBSQvQ&t=3960s
 What is the relationship between a pure mind and a scattered mind?,https://www.youtube.com/watch?v=nENMCNBSQvQ&t=4466s
