Title,ID
1. Bhagavad Gita | Chapter 1 Summary | Swami Sarvapriyananda,y9Kt7Db9MxA&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R
2. Bhagavad Gita | Chapter 2 Verses 1-10 | Swami Sarvapriyananda,6HuD2JJzzjs&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=2
3. Bhagavad Gita | Chapter 2 Verses 11-12 | Swami Sarvapriyananda,rB1qNzSeB7c&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=3
4. Bhagavad Gita | Chapter 2 Verses 13-15 | Swami Sarvapriyananda,QD6PMVBDrZ4&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=4
5. Bhagavad Gita | Chapter 2 Verse 16 | Swami Sarvapriyananda,XDPmbom12wM&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=5
6. Bhagavad Gita | Chapter 2 Verses 17-18 | Swami Sarvapriyananda,q75mTlhe5uQ&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=6
7. Bhagavad Gita I Chapter 2 Verse 19 I Swami Sarvapriyananda,8-FLPjQVmsg&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=7
8. Bhagavad Gita I Chapter 2 Verses 20-22 I Swami Sarvapriyananda,mawD3Xf5JQA&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=8
9. Bhagavad Gita I Chapter 2 Verses 23-25 I Swami Sarvapriyananda,rBQ12gOkufg&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=9
10. Bhagavad Gita I Chapter 2 Verses 26-27 I Swami Sarvapriyananda,FI4MITDeA8Q&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=10
11. Bhagavad Gita I Chapter 2 Verses 28-29 I Swami Sarvapriyananda,vADLdN1psIo&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=11
12. Bhagavad Gita I Chapter 2 Verses 30-31 I Swami Sarvapriyananda,IDSpRwCXL4I&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=12
13. Bhagavad Gita I Chapter 2 Verses 32-38 I Swami Sarvapriyananda,teJ9uRPAkE8&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=13
14. Bhagavad Gita I Chapter 2 Verses 39-40 I Swami Sarvapriyananda,yMlB2hH30Pk&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=14
15. Bhagavad Gita I Chapter 2 Verses 41-44 I Swami Sarvapriyananda,1_9KcYaCKtE&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=15
16. Bhagavad Gita I Chapter 2 Verses 45-47 I Swami Sarvapriyananda,2AdvdhRRhyI&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=16
17. Bhagavad Gita I Chapter 2 Verse 47 I Swami Sarvapriyananda,WcgITN0coWc&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=17
18. Bhagavad Gita I Chapter 2 Verses 48-51 I Swami Sarvapriyananda,zKKZ9jjoRK4&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=18
19. Bhagavad Gita I Chapter 2 Verses 52-54 I Swami Sarvapriyananda,qvYxHccKjxI&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=19
20. Bhagavad Gita I Chapter 2 Verses 55-56 I Swami Sarvapriyananda,AnW0ml9SbtI&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=20
21. Bhagavad Gita I Chapter 2 Verses 56-57 I Swami Sarvapriyananda,TbEinKHmy88&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=21
22. Bhagavad Gita I Chapter 2 Verse 58 I Swami Sarvapriyananda,mT1atwDSRMY&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=22
23. Bhagavad Gita l Chapter 2 Verses 59-63 l Swami Sarvapriyananda,dxGd9rGbXIk&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=23
24. Bhagavad Gita l Chapter 2 Verses 64-66 l Swami Sarvapriyananda,BdsT63h1R2w&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=24
25. Bhagavad Gita I Chapter 2 Verses 67-69 l Swami Sarvapriyananda,1MlCoSiXwU&list=PL2imXor63HtS4ewIKryBL4ZVeiaH8Ij4R&index=25
