Title,ID
1. Mandukya Upanishad | Chapter 1 Mantra 1,8mCkWGlO2x8
2. Mandukya Upanishad | Chapter 1 Mantra 2,Da4Upkl_jj4
3. Mandukya Upanishad | Chapter 1 Mantra 3-4,1pBhcSi9uKQ
4. Mandukya Upanishad | Chapter 1 Mantra 5-6,o_uj86CgwRI
5. Mandukya Upanishad | Chapter 1 Karika 1-5,0AYLO_fAYo8
6. Mandukya Upanishad | Chapter 1 Karika 6-9,sjY7wmsY_ao
7. Mandukya Upanishad | Chapter 1 Mantra 7 - Part 1,WESfnSGQ2_A
8. Mandukya Upanishad | Chapter 1 Mantra 7 - Part 2,wx0LKQFu9Yw
9. Mandukya Upanishad | Chapter 1 Karika 10,BDrRrjyLbGs
10. Mandukya Upanishad | Chapter 1 Karika 10-14,GKwHBK1QfTY
11. Mandukya Upanishad | Chapter 1 Karika 15-18,0dp5aZMrwJw
12. Mandukya Upanishad | Chapter 1 Mantra 8,ZubZjJ8m9NE
13. Mandukya Upanishad | Chapter 1 Mantra 9-11,uQ7Sryn5lkY
14. Mandukya Upanishad | Chapter 1 Karika 19-21,qFjXNVJN5SI
15. Mandukya Upanishad | Chapter 1 Mantra 12 & Karika 22-23,g3i_JP_muUU
16. Mandukya Upanishad | Chapter 1 Karika 24-29,6OTAPD1U5RA
17. Mandukya Upanishad | Chapter 1 Review,kFnYgr0zipg
18. Mandukya Upanishad | Chapter 2 Karika 1,GqVcq386Fik
19. Mandukya Upanishad | Chapter 2 Karika 2-5,hxl3L9rBSIs
20. Mandukya Upanishad | Chapter 2 Karika 6,kc9OAOffqK8
"21. Mandukya Upanishad | Chapter 2 Karika 7-10, 14, 15",FXDkiEr3ofg
22. Mandukya Upanishad | Chapter 2 Karika 11-12,cG4mAVHtYd0
23. Mandukya Upanishad | Chapter 2 Karika13,V38cNOSG86I
24. Mandukya Upanishad | Chapter 2 Karika 16-18,BsO6qU3FXrQ
25. Mandukya Upanishad | Chapter 2 Karika 19-23,Tom50sKG730
26. Mandukya Upanishad | Chapter 2 Karika 24-28,f9g9J1igjbU
27. Mandukya Upanishad | Chapter 2 Karika 29-31,gwsKuRQc1BU
28. Mandukya Upanishad | Chapter 2 Karika 32,UC-HdWqJXtA
29. Mandukya Upanishad | Chapter 2 Karika 33-34,IYVRekYEODc
30. Mandukya Upanishad | Chapter 2 Karika 35,_02HTrh4zmk
31. Mandukya Upanishad | Chapter 2 Karika 36,8xqShAlGJmI
32. Mandukya Upanishad | Chapter 2 Karika 37,GYfYN92wRWE
33. Mandukya Upanishad | Chapter 2 Karika 38,wav5LSI4yxM
34. Mandukya Upanishad | Chapter 2 Review,MN6VPZfQMVg
35. Mandukya Upanishad | Chapter 3 Karika 1,0YSrqB4Byo4
36. Mandukya Upanishad | Chapter 3 Karika 2-3,87WTqL_PKBE
37. Mandukya Upanishad | Chapter 3 Karika 4-11,6A1zIFBNvkY
38. Mandukya Upanishad | Chapter 3 Karika 12-14,vvx2P5qDa34
39. Mandukya Upanishad | Chapter 3 Karika 15-16,GS59Eglv5ZE
40. Mandukya Upanishad | Chapter 3 Karika 17-19,32i3q6blFsI
41. Mandukya Upanishad | Chapter 3 Karika 20-22,1GwN6zO8_1k
42. Mandukya Upanishad | Chapter 3 Karika 23-24,GWNd2irmrbo
43. Mandukya Upanishad | Chapter 3 Karika 25-28,ahdAmoZkVdE
44. Mandukya Upanishad | Chapter 3 Karika 29-30,B_7nfOMCsj0
45. Mandukya Upanishad | Chapter 3 Karika 31-32,NYRWUJRgNfg
46. Mandukya Upanishad | Chapter 3 Karika 33,d0yLrmJ0bM0
47. Mandukya Upanishad | Chapter 3 Karika 34-36,dlN8PORpaWI
48. Mandukya Upanishad | Chapter 3 Karika 37-39,TGcKEekOFoU
49. Mandukya Upanishad | Chapter 3 Karika 40-42,-C__IcWLIIM
50. Mandukya Upanishad | Chapter 3 Karika 43-47,IhnF2yOEJ_E
51. Mandukya Upanishad | Chapter 3 Karika 48,-qO1AZRmxcc
52. Mandukya Upanishad | Chapter 3 Karika Summary Q &A,AWsS0v1xuM4
53. Mandukya Upanishad | Chapter 1&2 Summary,qFVpeCjeN0g
54. Mandukya Upanishad | Chapter 4 Karika 1,VsWQ8oYIeWQ
55. Mandukya Upanishad | Chapter 4 Karika 2,Ug8IuinEjVc
56. Mandukya Upanishad | Chapter 4 Karika 5-10,Hs3gHgp57Wg
57. Mandukya Upanishad | Chapter 4 Karika 11-13,wEcPN-PE6Vo
58. Mandukya Upanishad | Chapter 4 Mantra 14-20,cYdulgYjwEM
59. Mandukya Upanishad | Chapter 4 Mantra 21-24,3hWzshV-lTo
60. Mandukya Upanishad | Chapter 4 Karika 25-27,LwJnnwt2K7Y
61. Mandukya Upanishad | Chapter 4 Mantra 28-43,vg3T74gjpGc
62. Mandukya Upanishad | Chapter 4 Mantra 44-54,XSXeCTvf-YM
63. Mandukya Upanishad | Chapter 4 Karika 55-60,SykFBLjl4os
64. Mandukya Upanishad | Chapter 4 Karika 61-73,GZdtPSC3bSk
65. Mandukya Upanishad | Chapter 4 Karika 74-78,j7M0WAyMpMw
66. Mandukya Upanishad | Chapter 4 Karika 79-82,k3ItJ_0k1HY
67. Mandukya Upanishad | Chapter 4 Karika 83-86,IbyrTYvDwkc
68. Mandukya Upanishad | Chapter 4 Karika 87-93,RP1XC7vZ9wA
69. Mandukya Upanishad | Chapter 4 Karika 94-100,yRJqZFavANU
